timestamp,cpu_watts,gpu_watts
2026-05-10T16:05:24.605859Z,183.360,10.010
2026-05-10T16:05:24.643948Z,183.852,10.010
2026-05-10T16:05:24.689453Z,186.065,10.010
2026-05-10T16:05:24.731625Z,177.816,10.010
2026-05-10T16:05:24.776941Z,185.768,10.010
2026-05-10T16:05:24.829976Z,174.846,10.010
2026-05-10T16:05:24.875542Z,187.582,10.010
2026-05-10T16:05:24.916876Z,168.795,10.010
2026-05-10T16:05:24.967054Z,187.801,10.010
2026-05-10T16:05:25.011074Z,165.796,9.820
2026-05-10T16:05:25.052002Z,184.410,9.820
2026-05-10T16:05:25.094966Z,183.944,9.820
2026-05-10T16:05:25.138382Z,166.922,9.820
2026-05-10T16:05:25.186970Z,187.782,9.820
2026-05-10T16:05:25.224840Z,150.540,9.820
2026-05-10T16:05:25.267387Z,187.102,9.820
2026-05-10T16:05:25.310114Z,150.664,9.820
2026-05-10T16:05:25.358027Z,184.165,9.820
2026-05-10T16:05:25.402159Z,154.168,9.820
2026-05-10T16:05:25.445858Z,173.237,9.820
2026-05-10T16:05:25.484140Z,177.413,9.820
2026-05-10T16:05:25.523912Z,128.944,9.820
2026-05-10T16:05:25.573879Z,188.339,9.820
2026-05-10T16:05:25.613397Z,116.376,9.820
2026-05-10T16:05:25.657945Z,182.532,9.820
2026-05-10T16:05:25.699823Z,136.349,9.820
2026-05-10T16:05:25.743896Z,166.724,9.820
2026-05-10T16:05:25.786360Z,156.241,9.820
2026-05-10T16:05:25.826823Z,125.822,9.820
2026-05-10T16:05:25.873808Z,172.870,9.820
2026-05-10T16:05:25.912872Z,96.706,9.820
2026-05-10T16:05:25.958924Z,182.525,9.820
2026-05-10T16:05:25.998684Z,105.503,9.280
2026-05-10T16:05:26.043575Z,162.734,9.280
2026-05-10T16:05:26.085240Z,130.517,9.280
2026-05-10T16:05:26.124862Z,112.737,9.280
2026-05-10T16:05:26.167743Z,168.474,9.280
2026-05-10T16:05:26.204085Z,84.418,9.280
2026-05-10T16:05:26.246607Z,178.373,9.280
2026-05-10T16:05:26.285494Z,101.879,9.280
2026-05-10T16:05:26.326912Z,122.797,9.280
2026-05-10T16:05:26.365650Z,145.116,9.280
2026-05-10T16:05:26.403493Z,69.737,9.280
2026-05-10T16:05:26.443101Z,171.329,9.280
2026-05-10T16:05:26.487635Z,88.127,9.280
2026-05-10T16:05:26.525614Z,120.738,9.280
2026-05-10T16:05:26.566382Z,127.701,9.280
2026-05-10T16:05:26.604815Z,63.358,9.280
2026-05-10T16:05:26.646769Z,156.369,9.280
2026-05-10T16:05:26.686100Z,82.312,9.280
2026-05-10T16:05:26.726392Z,120.408,9.280
2026-05-10T16:05:26.767702Z,115.877,9.280
2026-05-10T16:05:26.805083Z,67.900,9.280
2026-05-10T16:05:26.848628Z,136.296,9.280
2026-05-10T16:05:26.888297Z,71.343,9.280
2026-05-10T16:05:26.928166Z,118.759,9.280
2026-05-10T16:05:26.969019Z,80.932,9.280
2026-05-10T16:05:27.008880Z,80.670,9.350
2026-05-10T16:05:27.052124Z,124.920,9.350
2026-05-10T16:05:27.091937Z,67.018,9.350
2026-05-10T16:05:27.131469Z,108.845,9.350
2026-05-10T16:05:27.172825Z,84.951,9.350
2026-05-10T16:05:27.212127Z,85.849,9.350
2026-05-10T16:05:27.253926Z,97.954,9.350
2026-05-10T16:05:27.293314Z,75.167,9.350
2026-05-10T16:05:27.331675Z,104.057,9.350
2026-05-10T16:05:27.371090Z,69.527,9.350
2026-05-10T16:05:27.410121Z,77.143,9.350
2026-05-10T16:05:27.450376Z,82.320,9.350
2026-05-10T16:05:27.485529Z,67.246,9.350
